"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Camk1d",3.54673553238837e-32,0.285668013523011,0.932,0.899,2.01273694727507e-27,"0","Camk1d"
"Rffl",7.43248609101399e-32,0.864530486348876,0.165,0.084,4.21786153178953e-27,"0","Rffl"
"Ptafr",8.77671472805206e-32,0.622937761446694,0.151,0.07,4.98069784102227e-27,"0","Ptafr"
"Alpk1",1.66513452238719e-31,1.14952932180118,0.276,0.189,9.44947190109505e-27,"0","Alpk1"
"Fnip2",1.99924579927031e-31,1.20833041634297,0.324,0.254,1.13455199862791e-26,"0","Fnip2"
"Abr",4.77937827804564e-31,1.14759540453721,0.32,0.246,2.71224937900812e-26,"0","Abr"
"Ptpn1",1.26909425971125e-30,1.12486752996593,0.237,0.154,7.20198301443538e-26,"0","Ptpn1"
"Maf",2.1864382159931e-30,1.07140265694751,0.16,0.085,1.24078182319392e-25,"0","Maf"
"Cxcl10",2.48114605408827e-30,0.929809536002892,0.224,0.134,1.40802557423455e-25,"0","Cxcl10"
"Prdx5",3.6329499778218e-30,1.34610938922449,0.238,0.16,2.06166278291409e-25,"0","Prdx5"
"Cyth1",1.209407258976e-29,0.938027928834529,0.253,0.167,6.86326525396292e-25,"0","Cyth1"
"Epsti1",9.94677887910667e-29,0.864723781372983,0.148,0.075,5.64469754610425e-24,"0","Epsti1"
"Dock11",1.39203295651894e-28,0.710761340259198,0.136,0.065,7.89964782494931e-24,"0","Dock11"
"Zfp36",1.22661260888115e-27,0.799546433424362,0.203,0.119,6.96090389413962e-23,"0","Zfp36"
"Fyn",4.4684045101157e-27,1.2196212623067,0.215,0.14,2.53577487544556e-22,"0","Fyn"
"Rapgef2",5.00920606810365e-27,1.43601494792238,0.305,0.244,2.84267435158814e-22,"0","Rapgef2"
"Gas7",5.01558337806263e-27,0.80292584170858,0.154,0.081,2.84629341121676e-22,"0","Gas7"
"Ifrd1",5.52865998867811e-27,0.97346217224455,0.422,0.385,3.13745925697494e-22,"0","Ifrd1"
"Irf8",1.70379689163505e-26,0.806924939693043,0.105,0.046,9.66887698033972e-22,"0","Irf8"
"Nfe2l2",6.50728167775404e-26,0.998112268099412,0.303,0.23,3.69281727930864e-21,"0","Nfe2l2"
"Cyria",7.17300746095649e-26,0.788220747345234,0.112,0.052,4.0706100040182e-21,"0","Cyria"
"Lilrb4a",1.59249113163265e-25,0.485128692722276,0.151,0.077,9.03722792290214e-21,"0","Lilrb4a"
"Ctsh",3.08793330752905e-25,0.843198020720543,0.117,0.057,1.75237127268966e-20,"0","Ctsh"
